iter	Passed	Remaining
676	29066	13867
677	29100	13820
678	29138	13775
679	29168	13726
680	29197	13676
681	29227	13628
682	29263	13581
683	29296	13534
684	29326	13485
685	29355	13436
686	29381	13386
687	29413	13338
688	29439	13288
689	29464	13237
690	29498	13190
691	29533	13145
692	29565	13097
693	29593	13048
694	29624	13000
695	29654	12952
696	29687	12905
697	29717	12857
698	29750	12810
699	29787	12766
700	29812	12716
701	29848	12670
702	29876	12622
703	29904	12573
704	29931	12524
705	29958	12475
706	29987	12427
707	30016	12379
708	30041	12330
709	30071	12282
710	30099	12234
711	30131	12188
712	30160	12140
713	30190	12093
714	30225	12048
715	30259	12002
716	30292	11956
717	30321	11909
718	30355	11863
719	30387	11817
720	30414	11769
721	30445	11722
722	30485	11679
723	30525	11636
724	30554	11589
725	30588	11544
726	30615	11496
727	30646	11450
728	30676	11403
729	30702	11355
730	30736	11310
731	30763	11262
732	30797	11218
733	30830	11172
734	30863	11127
735	30886	11078
736	30916	11032
737	30946	10986
738	30977	10940
739	31012	10896
740	31036	10848
741	31066	10802
742	31099	10757
743	31129	10711
744	31162	10666
745	31195	10621
746	31225	10575
747	31258	10530
748	31291	10486
749	31322	10440
750	31353	10395
751	31383	10349
752	31416	10305
753	31446	10259
754	31479	10215
755	31508	10169
756	31537	10123
757	31577	10081
758	31611	10037
759	31642	9992
760	31673	9947
761	31715	9905
762	31746	9860
763	31775	9815
764	31802	9769
765	31828	9723
766	31865	9680
767	31900	9636
768	31936	9593
769	31982	9553
770	32021	9511
771	32065	9469
772	32103	9427
773	32141	9384
774	32177	9341
775	32211	9298
776	32241	9253
777	32270	9208
778	32300	9163
779	32331	9119
780	32368	9076
781	32394	9030
782	32426	8986
783	32463	8943
784	32490	8898
785	32519	8853
786	32554	8810
787	32580	8765
788	32610	8720
789	32639	8676
790	32668	8631
791	32697	8587
792	32722	8541
793	32748	8496
794	32778	8452
795	32804	8407
796	32834	8363
797	32866	8319
798	32893	8274
799	32924	8231
800	32958	8188
801	32998	8146
802	33028	8102
803	33062	8059
804	33095	8016
805	33121	7972
806	33155	7929
807	33183	7885
808	33215	7841
809	33247	7798
810	33278	7755
811	33314	7713
812	33344	7669
813	33381	7627
814	33410	7584
815	33442	7540
816	33469	7496
817	33497	7452
818	33522	7408
819	33552	7365
820	33593	7324
821	33635	7283
822	33662	7239
823	33693	7196
824	33720	7152
825	33753	7110
826	33792	7069
827	33826	7026
828	33861	6984
829	33886	6940
830	33914	6897
831	33944	6854
832	33976	6811
833	34001	6767
834	34030	6724
835	34064	6682
836	34102	6641
837	34131	6598
838	34162	6555
839	34191	6512
840	34221	6470
841	34246	6426
842	34270	6382
843	34305	6340
844	34333	6297
845	34358	6254
846	34387	6211
847	34421	6169
848	34451	6127
849	34476	6084
850	34518	6043
851	34551	6001
852	34580	5959
853	34610	5917
854	34645	5875
855	34679	5833
856	34707	5791
857	34740	5749
858	34771	5707
859	34797	5664
860	34825	5622
861	34857	5580
862	34889	5538
863	34925	5497
864	34954	5455
865	34982	5413
866	35016	5371
867	35046	5329
868	35084	5288
869	35115	5247
870	35145	5205
871	35173	5163
872	35209	5122
873	35242	5080
874	35277	5039
875	35314	4998
876	35349	4957
877	35392	4917
878	35429	4877
879	35469	4836
880	35507	4796
881	35536	4754
882	35571	4713
883	35603	4671
884	35631	4630
885	35667	4589
886	35697	4547
887	35726	4506
888	35764	4465
889	35797	4424
890	35833	4383
891	35869	4342
892	35902	4301
893	35936	4260
894	35965	4219
895	36002	4178
896	36039	4138
897	36077	4097
898	36116	4057
899	36158	4017
900	36196	3977
901	36238	3937
902	36265	3895
903	36298	3854
904	36341	3814
905	36373	3773
906	36409	3733
907	36442	3692
908	36474	3651
909	36507	3610
910	36538	3569
911	36571	3528
912	36612	3488
913	36648	3448
914	36688	3408
915	36734	3368
916	36765	3327
917	36796	3286
918	36834	3246
919	36879	3206
920	36911	3166
921	36937	3124
922	36968	3084
923	36999	3043
924	37028	3002
925	37065	2962
926	37098	2921
927	37131	2880
928	37163	2840
929	37201	2800
930	37252	2760
931	37284	2720
932	37317	2679
933	37361	2640
934	37395	2599
935	37426	2559
936	37455	2518
937	37503	2478
